Accuracy (bp)	Accuracy (seq)	Adjusted Rand index (bp)	Adjusted Rand index (seq)	Average completeness (bp)	Average completeness (seq)	Average purity (bp)	Average purity (seq)	CAMI 1 average completeness (bp)	CAMI 1 average completeness (seq)	Completeness (bp)	Completeness (seq)	F1 score (bp)	F1 score (seq)	F1 score for sample (bp)	F1 score for sample (seq)	Misclassification rate (bp)	Misclassification rate (seq)	Percentage of binned bp	Percentage of binned sequences	Purity (bp)	Purity (seq)	Rand index (bp)	Rand index (seq)	Sample	Std error of average completeness (bp)	Std error of average completeness (seq)	Std error of average purity (bp)	Std error of average purity (seq)	Tool	UniFrac (bp)	UniFrac (seq)	avg_precision_bp_var	avg_recall_bp_var	binning type	rank
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	gsa	0.0	0.0	0.0	0.0	Gold standard			0.0	0.0	genome	NA
0.768151851621248	0.6274577919822136	0.753962226848339	0.654564302277914	0.9771236923588418	0.8884162319103944	0.8474810040669537	0.8121464719218109	0.7019196718384787	0.6465633011444857	0.976638171106306	0.9358021260334884	0.9076966309689184	0.8485710132512574	0.8599389149721676	0.7512203555740832	0.231848148378752	0.37254220801778637	1.0	1.0	0.768151851621248	0.6274577919822136	0.9845108855524292	0.9527576692811306	gsa	0.004591621734848166	0.01649532644692767	0.04090590275621109	0.041824551473852466	BB			0.0635851294514227	0.0009909005373287141	genome	NA
0.3203621559780981	0.25970958104634195	0.20453279661064674	0.14504555510497302	0.4058387527681561	0.2644502495069659	0.33028450510321244	0.24914766790398346	0.19562781386424422	0.14999247484100328	0.38913764955862123	0.2117696102271938	0.364184259025703	0.2565709895142284	0.35141652023581166	0.23330232921581204	0.679637844021902	0.7402904189536581	1.0	1.0	0.3203621559780981	0.25970958104634195	0.9546353662203018	0.9349934810584186	gsa	0.027243935497667317	0.01871994609509951	0.01571378836277571	0.02526749431380221	ME			0.011605387801374953	0.03488490500584969	genome	NA
